Reporting_Airline,Origin,Dest,origin_windy,dest_windy,origin_rain,dest_rain,total_flights,total_delayed_flights,total_weather_delayed_flights,total_dep_delay,total_arr_delay,total_weather_delay
AA,ORD,TPA,0,1,0,0,7,3,0,73.0,69.0,0.0
DL,CVG,MSP,0,1,0,0,17,4,1,12.0,-180.0,56.0
OH,DCA,GRR,0,1,1,0,9,6,1,387.0,324.0,30.0
9E,LGA,GSO,0,0,1,0,41,13,0,575.0,118.0,0.0
DL,PDX,ATL,0,0,0,0,82,15,0,187.0,-686.0,0.0
OO,ORD,OMA,0,0,0,0,39,11,1,411.0,203.0,13.0
WN,DEN,ORD,0,0,1,0,11,9,1,582.0,572.0,22.0
G4,LAS,FAT,0,1,1,1,1,1,0,106.0,104.0,0.0
WN,MCI,LAS,1,0,0,1,1,0,0,-2.0,-5.0,
UA,DEN,LAS,0,0,0,1,4,4,0,208.0,211.0,0.0
WN,BUF,RSW,0,0,0,1,1,1,0,0.0,7.0,
MQ,DFW,XNA,1,0,0,1,7,5,1,245.0,172.0,151.0
G4,FLL,CID,0,0,0,0,7,1,0,29.0,-99.0,0.0
OO,DFW,IDA,1,0,0,1,1,1,0,-9.0,6.0,
B6,BQN,JFK,1,0,0,0,60,24,0,454.0,188.0,0.0
B6,PBI,JFK,1,1,0,0,7,3,0,2.0,-34.0,0.0
WN,SJC,LAS,0,0,0,1,2,1,0,96.0,81.0,0.0
OO,STS,PDX,0,0,0,1,17,10,0,306.0,311.0,0.0
OO,BZN,SLC,0,0,1,1,3,1,0,-24.0,-13.0,
DL,SLC,MCI,0,1,0,0,13,3,0,-29.0,-101.0,
OO,FAR,MSP,0,1,1,1,2,1,0,6.0,79.0,0.0
YX,BOS,CVG,0,1,0,0,18,1,0,-104.0,-233.0,
9E,ATL,EVV,0,0,0,1,6,1,0,-33.0,-5.0,0.0
AA,BOS,PHX,0,0,0,1,5,3,0,-4.0,-20.0,
MQ,BOI,PHX,0,0,0,1,2,2,0,15.0,36.0,0.0
MQ,DFW,AMA,0,1,0,1,3,2,1,71.0,65.0,13.0
WN,SRQ,CMH,0,0,0,0,30,6,1,157.0,45.0,36.0
AA,DFW,GRR,1,1,1,0,5,1,1,19.0,-44.0,19.0
OO,SEA,PDX,1,1,1,1,18,5,1,146.0,-6.0,33.0
WN,ATL,TPA,0,1,1,0,12,6,0,237.0,234.0,0.0
WN,ISP,BWI,1,1,1,0,7,3,1,439.0,349.0,221.0
OO,ABY,ATL,0,1,0,0,3,2,0,273.0,240.0,0.0
WN,MSY,MDW,0,1,1,0,13,6,0,367.0,223.0,0.0
AA,MSY,PHL,1,0,0,0,4,1,0,0.0,-46.0,0.0
UA,DEN,SDF,0,0,1,1,4,4,0,68.0,116.0,0.0
OO,DEN,XWA,0,1,1,0,8,7,1,335.0,357.0,22.0
AA,PHL,IND,0,0,0,0,67,19,1,849.0,298.0,18.0
WN,DAL,ATL,1,0,0,0,16,9,0,436.0,403.0,0.0
WN,AUS,DEN,1,1,0,1,3,2,0,-1.0,32.0,0.0
WN,MDW,SAN,1,0,0,0,6,4,0,79.0,36.0,0.0
OH,VPS,DCA,0,0,1,1,7,3,1,246.0,148.0,7.0
MQ,ILM,DCA,0,0,0,1,2,0,0,-13.0,-51.0,
UA,CLT,IAD,0,0,0,1,9,3,0,-16.0,-9.0,0.0
YX,GSP,PHL,0,0,0,1,4,2,0,27.0,14.0,0.0
WN,SAT,DEN,0,0,1,1,1,1,0,17.0,10.0,
AA,CLT,MIA,1,1,1,0,9,7,4,252.0,290.0,179.0
NK,PHL,FLL,0,0,0,0,63,21,2,1342.0,674.0,40.0
OH,DCA,HPN,0,0,1,1,19,12,2,451.0,664.0,42.0
DL,RIC,DTW,0,0,0,0,43,5,0,160.0,-388.0,0.0
B6,JFK,SJU,0,0,0,0,132,47,1,2766.0,1518.0,41.0
WN,BNA,MCI,0,1,0,0,20,3,0,-3.0,-199.0,
9E,LGA,DAY,1,0,1,1,1,0,0,-6.0,-20.0,
9E,IAD,JFK,0,1,1,1,2,0,0,2.0,-29.0,
WN,MKE,MCO,1,0,1,0,20,9,0,282.0,228.0,0.0
UA,ORD,RSW,1,0,1,0,19,8,1,123.0,135.0,26.0
YX,CVG,JFK,0,0,1,0,35,4,0,-5.0,-397.0,0.0
9E,BGR,JFK,0,1,1,1,2,1,0,156.0,150.0,0.0
AA,DTW,PHL,0,0,0,0,174,50,1,2574.0,2076.0,959.0
WN,TPA,CLE,0,1,0,1,1,1,0,37.0,27.0,0.0
DL,BIS,MSP,0,1,0,0,13,4,0,109.0,40.0,0.0
B6,BOS,PIT,0,1,1,0,14,8,0,594.0,511.0,0.0
HA,OGG,ITO,0,0,0,1,10,7,0,16.0,26.0,
AS,AUS,SEA,0,1,0,1,20,8,0,-2.0,-73.0,0.0
OH,TUL,CLT,1,0,0,1,1,1,0,15.0,4.0,
MQ,FWA,DFW,1,1,0,1,2,1,0,-3.0,13.0,0.0
YX,BNA,RDU,0,1,1,0,5,1,0,-28.0,-30.0,
YX,AUS,EWR,0,0,0,0,2,0,0,-7.0,-25.0,
DL,BDL,DTW,0,1,1,0,15,2,0,-42.0,-144.0,0.0
F9,ISP,FLL,1,0,1,0,11,4,0,104.0,113.0,0.0
WN,HRL,AUS,1,1,0,0,9,2,0,-1.0,-36.0,0.0
OH,CLT,CAK,0,1,1,0,12,6,2,364.0,300.0,5.0
HA,HNL,OAK,0,1,1,0,3,3,0,95.0,132.0,0.0
WN,ICT,LAS,1,0,0,1,1,0,0,-9.0,-8.0,
AA,MCI,DFW,0,1,1,0,29,17,1,1130.0,1104.0,11.0
G4,TYS,SFB,0,1,1,0,9,5,1,292.0,284.0,108.0
DL,MSP,STL,0,1,1,1,2,2,0,-2.0,50.0,0.0
DL,DAB,ATL,0,1,1,0,6,3,0,53.0,4.0,0.0
G4,PVD,BNA,0,0,1,0,6,0,0,-93.0,-148.0,
