Reporting_Airline,Origin,Dest,origin_windy,dest_windy,origin_rain,dest_rain,total_flights,total_delayed_flights,total_weather_delayed_flights,total_dep_delay,total_arr_delay,total_weather_delay
G4,SAV,LCK,0,0,1,1,2,2,0,32.0,30.0,0.0
NK,LGA,CMH,0,1,0,1,1,0,0,74.0,,
MQ,DCA,BGR,0,0,0,0,1,0,0,-1.0,-14.0,
AA,DTW,MIA,0,1,0,1,1,0,0,-4.0,-7.0,
MQ,MIA,PNS,1,0,1,1,1,0,0,-6.0,-24.0,
OH,CHS,PHL,0,1,0,0,2,0,0,-17.0,-30.0,
OH,FWA,CLT,0,0,1,1,1,1,0,-5.0,9.0,
F9,PDX,SLC,1,0,1,0,2,0,0,-16.0,-22.0,
G4,PIA,PGD,0,0,1,1,1,0,0,-14.0,-17.0,
DL,RDU,DTW,0,1,1,1,1,0,0,-7.0,-30.0,
AA,CLT,SJU,1,0,1,1,1,1,0,2.0,8.0,
NK,SAN,OAK,0,1,0,1,1,0,0,0.0,-3.0,
UA,IAD,EWR,1,0,0,0,1,1,0,-5.0,16.0,0.0
UA,PWM,EWR,0,1,1,0,1,0,0,-10.0,-11.0,
UA,FAT,ORD,0,0,1,0,1,0,0,18.0,-14.0,
AA,SMF,ORD,1,0,1,0,1,1,0,-2.0,3.0,
WN,DCA,BNA,1,1,1,1,1,1,0,258.0,230.0,0.0
DL,DTW,ROC,1,0,1,0,1,1,0,95.0,90.0,0.0
9E,JFK,MCI,1,1,0,1,1,1,0,75.0,73.0,0.0
YX,BOS,SAV,1,1,1,0,1,1,0,33.0,43.0,0.0
NK,SJU,FLL,1,0,0,0,1,1,0,13.0,14.0,
WN,SJC,DEN,0,1,1,0,5,1,0,14.0,-59.0,
B6,CLT,BOS,0,1,1,1,1,0,0,-10.0,-33.0,
DL,JFK,MSY,0,0,1,1,2,1,0,0.0,-18.0,
DL,DTW,JAX,1,1,1,0,1,1,0,-4.0,83.0,0.0
9E,SGF,ATL,1,1,1,0,1,1,0,-5.0,9.0,
WN,JAN,ATL,0,1,0,1,1,1,0,-7.0,48.0,0.0
OO,SMF,LAX,0,1,1,0,2,1,0,-11.0,-11.0,
F9,LAS,OKC,0,1,1,0,1,1,0,23.0,8.0,
AA,PHX,OGG,0,1,1,0,1,0,0,-6.0,-30.0,
F9,IAH,PHX,0,1,0,0,2,2,1,114.0,137.0,15.0
OO,LAX,ASE,0,0,1,1,1,0,0,-5.0,-13.0,
WN,PVD,TPA,0,0,1,1,3,1,0,68.0,74.0,0.0
DL,ORD,LGA,1,1,1,1,2,2,0,211.0,194.0,0.0
NK,MIA,DFW,0,0,0,1,1,1,0,-4.0,5.0,
WN,DAL,MTJ,0,0,0,1,1,0,0,-3.0,-18.0,
NK,DTW,LAS,0,1,0,1,2,2,0,15.0,41.0,0.0
WN,MDW,SAV,0,1,1,0,3,2,0,33.0,46.0,0.0
YX,EWR,JAX,1,1,1,0,1,1,0,-7.0,62.0,0.0
OO,ORD,JST,1,0,1,1,1,1,0,31.0,30.0,0.0
F9,PHL,MYR,0,1,0,0,3,1,0,-27.0,-20.0,
UA,CLE,MCO,0,1,1,1,1,1,0,256.0,256.0,0.0
B6,BOS,TPA,0,1,0,1,3,2,0,121.0,109.0,0.0
YX,BDL,DCA,1,0,1,1,1,1,0,-5.0,6.0,
G4,TOL,PGD,1,0,1,0,1,0,0,-5.0,-14.0,
F9,DEN,ORD,0,1,1,0,1,1,0,13.0,14.0,
MQ,DFW,CLL,1,1,1,1,1,1,0,-1.0,68.0,0.0
OO,LGA,IND,0,0,0,0,1,0,0,-8.0,-10.0,
DL,PHL,ATL,1,0,0,1,2,2,1,120.0,100.0,15.0
F9,TTN,RSW,1,0,0,0,3,2,0,67.0,138.0,0.0
AA,DFW,EWR,0,1,1,1,1,1,1,332.0,365.0,72.0
HA,HNL,JFK,1,1,1,1,1,1,0,53.0,61.0,0.0
UA,OMA,DEN,1,0,0,1,3,2,0,19.0,34.0,0.0
UA,DEN,MCO,1,0,0,1,1,0,0,0.0,-1.0,
OO,MBS,ORD,1,0,1,1,2,2,1,115.0,96.0,60.0
OO,MSP,SBN,0,1,0,0,2,2,1,22.0,83.0,11.0
WN,BWI,SRQ,1,0,0,0,2,0,0,16.0,-13.0,
NK,FLL,MYR,0,0,0,1,3,2,0,46.0,30.0,0.0
MQ,DCA,DTW,0,1,1,0,1,0,0,5.0,-13.0,
UA,EUG,CMH,0,1,0,0,1,0,0,-10.0,0.0,
UA,SJU,IAH,1,0,1,0,3,1,0,98.0,89.0,0.0
HA,PDX,OGG,0,1,0,1,1,0,0,-6.0,-19.0,
AS,AUS,SEA,1,1,0,1,1,0,0,-4.0,-11.0,
OO,LNK,ORD,0,1,1,1,1,0,0,-8.0,-3.0,
OO,DEN,EAR,0,0,1,0,1,0,0,0.0,-6.0,
AA,MKE,CLT,0,0,1,1,1,0,0,2.0,-10.0,
G4,BNA,FNT,0,0,0,1,3,1,0,24.0,1.0,0.0
OH,LIT,DFW,0,1,0,1,1,0,0,-1.0,-17.0,
NK,ORD,IAH,0,1,1,1,1,1,0,-3.0,37.0,0.0
YX,BDL,ORD,0,1,1,0,1,0,0,-11.0,-30.0,
OO,MAF,AUS,0,0,0,1,2,0,0,-13.0,-19.0,
OH,CLT,MKE,1,1,1,0,2,2,1,179.0,166.0,9.0
F9,JFK,TPA,1,0,1,0,1,0,0,-12.0,-13.0,
UA,MTJ,ORD,0,0,0,0,1,1,0,35.0,53.0,0.0
AA,RSW,ORD,1,0,1,1,1,1,0,25.0,10.0,
F9,PBI,PHL,0,0,1,1,7,2,0,66.0,3.0,0.0
OO,AUS,ELP,1,1,1,0,1,1,0,36.0,40.0,0.0
F9,IAH,LAS,0,1,1,0,2,2,0,1223.0,1210.0,0.0
UA,ROC,EWR,1,1,1,1,1,0,0,4.0,-5.0,
AA,PHX,MIA,0,1,1,0,2,2,0,55.0,109.0,0.0
AA,DFW,BFL,0,0,0,1,1,1,0,142.0,138.0,0.0
AA,PHX,MCI,0,0,0,1,1,0,0,-12.0,-10.0,
B6,DTW,BOS,0,1,1,1,1,0,0,-18.0,-37.0,
MQ,DFW,LAW,0,0,0,1,1,1,0,24.0,18.0,0.0
AA,PHX,LAX,0,0,1,1,1,1,0,-4.0,1.0,
OO,STS,PHX,0,1,0,1,1,0,0,-7.0,-4.0,
WN,HOU,CLT,0,0,1,0,3,2,0,52.0,20.0,0.0
WN,OMA,HOU,0,0,1,1,2,2,0,194.0,216.0,0.0
WN,RSW,PVD,0,0,0,1,2,0,0,-13.0,-40.0,
F9,DEN,HOU,0,0,1,0,1,1,0,45.0,6.0,
B6,MIA,LAX,0,1,0,1,1,0,0,-1.0,-12.0,
AS,LAX,SEA,0,1,1,1,1,0,0,1.0,-1.0,
UA,SFO,MSY,0,1,1,1,2,0,0,4.0,-47.0,
G4,FLL,ATW,1,1,0,0,1,1,0,108.0,103.0,0.0
UA,EYW,IAD,1,1,1,0,1,1,0,70.0,69.0,0.0
AS,PDX,BNA,0,1,0,1,1,0,0,-8.0,-14.0,
OO,PDX,MSO,1,0,1,0,1,0,0,-6.0,-14.0,
YX,IAD,SAV,0,0,1,1,1,0,0,-8.0,-15.0,
OH,CLT,CHS,0,1,0,1,1,0,0,-5.0,-15.0,
YX,IAD,CHS,0,1,1,1,5,4,0,1.0,46.0,0.0
YX,ALB,ORD,0,1,1,1,1,0,0,-3.0,-18.0,
9E,LGA,TYS,1,0,1,0,3,1,0,1.0,-10.0,
G4,PIT,EYW,1,1,1,0,1,1,0,63.0,71.0,0.0
WN,HRL,DAL,1,0,0,0,6,3,0,34.0,23.0,0.0
OO,BTR,DFW,0,0,1,1,1,1,1,154.0,153.0,153.0
YX,JAX,ORD,1,1,1,0,2,1,0,9.0,-22.0,
G4,DEN,ATW,0,0,1,0,1,0,0,-9.0,-20.0,
WN,MCI,OAK,1,1,0,0,1,0,0,-5.0,-27.0,
OO,ABR,MSP,1,0,0,1,1,0,0,-9.0,-6.0,
WN,SDF,BWI,0,1,1,0,1,0,0,-5.0,-12.0,
NK,OAK,LAS,1,1,1,0,1,0,0,-9.0,-24.0,
AA,IAD,DFW,0,0,1,1,2,2,1,86.0,111.0,12.0
9E,MSP,FAR,0,0,1,1,1,1,0,-6.0,6.0,
G4,GRR,AUS,1,0,0,0,1,0,0,-6.0,-20.0,
UA,EWR,SLC,1,0,0,0,1,0,0,-2.0,-8.0,
NK,MYR,ROC,1,0,0,1,1,0,0,-6.0,-30.0,
AS,ANC,SAN,0,1,1,0,1,0,0,-8.0,-10.0,
NK,FLL,LAS,0,1,1,1,1,0,0,-3.0,-21.0,
AS,YAK,CDV,1,0,0,1,1,0,0,-9.0,-16.0,
OO,ATL,ASE,0,1,1,0,1,0,0,-6.0,-12.0,
G4,CVG,CHS,0,1,0,1,1,1,0,-10.0,11.0,
YX,BGR,DCA,0,0,0,1,4,2,0,40.0,12.0,0.0
UA,STL,SFO,0,1,1,0,1,0,0,-5.0,-11.0,
NK,CMH,LGA,0,1,1,0,1,0,0,-9.0,-21.0,
WN,RIC,BWI,0,1,1,1,1,0,0,-3.0,-14.0,
WN,HOU,PIT,1,1,0,0,1,0,0,-3.0,-10.0,
WN,MDW,MSY,0,0,0,1,5,2,0,15.0,-27.0,
WN,HOU,PIT,0,1,0,1,2,1,0,58.0,47.0,0.0
YX,SYR,JFK,0,0,1,1,1,0,0,-4.0,-14.0,
YX,IAD,CVG,1,0,0,0,2,1,0,11.0,-5.0,
OH,BHM,DFW,0,1,1,1,1,1,0,19.0,11.0,
NK,MSY,BOS,0,0,1,0,3,1,0,48.0,-30.0,0.0
WN,MDW,RDU,1,0,0,0,1,1,0,21.0,14.0,
F9,TPA,BTV,0,0,0,1,1,0,0,-10.0,-31.0,
WN,HOU,PNS,1,1,0,0,1,0,0,-1.0,-16.0,
OO,MSO,SEA,0,1,0,0,1,1,0,70.0,76.0,0.0
HA,HNL,SMF,0,1,0,1,1,1,0,51.0,45.0,0.0
AA,SMF,MIA,0,0,1,1,1,0,0,6.0,-2.0,
OH,IND,DCA,0,1,1,1,1,0,0,-12.0,-16.0,
DL,MIA,MCO,1,1,0,0,2,1,0,6.0,-2.0,
OO,XNA,LAX,0,1,1,0,2,1,0,-9.0,10.0,0.0
F9,DEN,MCI,0,1,0,1,1,1,0,-9.0,6.0,
MQ,MIA,TLH,0,1,1,1,1,1,0,-2.0,28.0,0.0
OH,IAD,CLT,1,1,1,0,2,0,0,-12.0,-45.0,
DL,DEN,SEA,0,1,0,1,1,0,0,4.0,-17.0,
OO,DEN,TYS,1,0,0,0,1,1,0,250.0,262.0,0.0
WN,MSY,BWI,1,1,1,0,2,2,1,48.0,37.0,7.0
G4,SFB,HTS,0,1,0,0,3,1,0,26.0,49.0,0.0
G4,SYR,PGD,0,0,0,1,1,0,0,7.0,-14.0,
G4,VPS,LCK,1,1,1,1,1,0,0,-6.0,-20.0,
F9,DEN,LIT,0,0,0,1,2,1,0,113.0,102.0,0.0
NK,IAH,TPA,1,0,0,0,2,1,0,25.0,-4.0,
AS,PDX,TPA,0,1,0,0,1,1,0,5.0,9.0,
AA,OKC,DFW,0,1,0,1,3,2,0,1.0,17.0,0.0
AS,SJC,LIH,0,1,0,0,3,1,0,-7.0,-31.0,0.0
B6,EYW,BOS,1,1,0,1,1,0,0,40.0,,
MQ,BOS,CVG,1,1,1,1,2,1,0,10.0,1.0,
YX,CMH,DCA,0,1,1,0,2,0,0,-11.0,-19.0,
YX,ROC,DCA,0,1,1,0,1,1,0,21.0,22.0,0.0
UA,ONT,SFO,0,1,1,1,1,0,0,-7.0,-16.0,
G4,SWF,PIE,1,0,1,0,1,0,0,-4.0,-27.0,
NK,DFW,BWI,1,0,0,1,1,1,0,48.0,45.0,0.0
YX,DCA,MIA,0,0,1,0,2,0,0,-12.0,-25.0,
WN,SJC,ONT,1,0,1,0,1,1,0,30.0,18.0,0.0
OO,SBN,DFW,1,0,0,1,1,1,0,7.0,32.0,0.0
F9,ORD,CLT,0,0,1,1,2,0,0,-18.0,-41.0,
OO,RIC,DTW,1,0,1,1,1,0,0,-5.0,-15.0,
WN,LGA,DEN,0,1,0,1,2,1,0,81.0,54.0,0.0
WN,PVD,DAL,0,0,0,0,1,1,0,258.0,237.0,0.0
OO,MSP,ESC,0,1,1,0,3,1,0,-13.0,-19.0,
G4,SFB,GSP,0,0,1,0,5,4,0,49.0,53.0,0.0
UA,IAH,MKE,0,0,0,1,1,0,0,-1.0,-1.0,
AA,DCA,MCO,0,1,0,1,3,2,0,11.0,-2.0,0.0
UA,ALB,ORD,0,1,1,1,1,0,0,7.0,-4.0,
B6,JFK,BQN,0,1,1,1,1,0,0,-6.0,-34.0,
MQ,DFW,CHS,0,1,1,0,1,0,0,-2.0,-6.0,
YX,PHL,SDF,1,1,1,1,1,1,0,26.0,18.0,0.0
WN,FLL,BUF,0,0,1,0,2,2,0,208.0,229.0,0.0
G4,BLI,PSP,1,0,1,0,3,0,0,-26.0,-66.0,
G4,SRQ,PIA,0,1,0,0,4,0,0,-65.0,-66.0,
WN,DEN,COS,0,1,1,1,3,3,0,96.0,165.0,0.0
AA,EWR,ORD,0,1,0,1,1,0,0,2.0,-15.0,
WN,MDW,LGA,0,1,0,0,1,0,0,-3.0,-14.0,
NK,BOS,BWI,1,0,1,1,2,1,0,104.0,85.0,0.0
WN,PHL,TPA,0,1,1,0,2,2,0,26.0,27.0,0.0
DL,LGA,CHS,0,1,1,1,1,0,0,-1.0,-5.0,
DL,ATL,HPN,0,1,1,1,1,0,0,-1.0,-11.0,
NK,SEA,LAX,0,0,1,1,1,0,0,3.0,-13.0,
UA,IAD,SAT,0,1,0,1,2,1,0,-10.0,21.0,0.0
WN,MCO,MSP,0,0,0,1,1,0,0,-1.0,-6.0,
WN,RDU,ATL,1,0,0,0,1,0,0,-9.0,-27.0,
NK,RSW,DTW,1,1,0,1,2,1,0,27.0,-23.0,
OO,SFO,PSC,0,1,1,0,2,0,0,-10.0,-22.0,
WN,FLL,ATL,0,1,1,0,2,1,0,15.0,5.0,
AA,ALB,DFW,0,1,0,1,1,0,0,-1.0,-2.0,
9E,ROC,LGA,0,1,0,1,1,1,0,29.0,44.0,0.0
HA,HNL,OAK,1,1,1,0,1,1,0,101.0,96.0,0.0
UA,DEN,RAP,0,0,0,1,5,2,0,109.0,80.0,0.0
OO,DFW,CLL,1,1,0,0,2,1,0,12.0,-6.0,
F9,DEN,IAH,0,0,1,0,5,3,1,35.0,186.0,10.0
WN,DEN,MCI,1,1,0,0,1,1,0,-1.0,3.0,
G4,CVG,PGD,0,1,0,0,3,0,0,-29.0,-29.0,
G4,ABE,BNA,0,1,0,0,1,0,0,-17.0,-36.0,
WN,BNA,TPA,1,0,0,0,1,1,0,26.0,18.0,0.0
9E,RIC,DTW,0,1,1,0,2,1,0,68.0,30.0,0.0
AA,CLT,CMH,1,1,1,0,1,1,0,8.0,11.0,
OO,SUN,SLC,1,1,1,0,1,1,1,24.0,59.0,24.0
WN,ORD,RSW,0,1,1,0,2,1,0,38.0,37.0,0.0
F9,MCO,CID,1,1,0,0,1,1,0,124.0,200.0,0.0
UA,LAS,IAH,1,0,1,1,2,1,0,77.0,68.0,0.0
UA,IAH,JAC,0,1,0,0,2,0,0,-9.0,-39.0,
AS,SAN,FLL,0,0,0,1,2,1,0,98.0,90.0,0.0
WN,OAK,PHX,1,0,1,1,1,0,0,-2.0,-5.0,
AA,OMA,PHX,1,1,1,1,1,0,0,-10.0,-36.0,
UA,IAD,ORD,1,1,0,1,1,1,0,-1.0,5.0,
YX,PIT,ORD,1,1,1,0,3,1,0,-16.0,7.0,0.0
WN,TPA,PVD,1,1,0,0,1,1,0,20.0,23.0,0.0
DL,CVG,FLL,1,1,1,0,2,0,0,-4.0,-23.0,
MQ,DFW,ABI,0,1,1,1,2,2,0,53.0,66.0,0.0
G4,BWI,VPS,0,0,0,0,1,0,0,-3.0,-10.0,
MQ,DFW,PNS,0,0,0,1,3,1,0,-14.0,-8.0,
OO,JAC,DEN,1,1,1,0,2,0,0,-16.0,-43.0,
YX,ORD,GRR,0,1,1,0,3,1,0,-7.0,16.0,0.0
UA,STT,IAH,1,1,0,1,1,0,0,8.0,-3.0,
DL,MSP,CVG,1,0,0,1,1,1,0,1.0,4.0,
AA,BTV,PHL,0,0,1,1,1,1,0,24.0,19.0,0.0
UA,JAX,ORD,1,1,1,0,2,0,0,-8.0,-19.0,
OO,ORD,SLN,1,0,0,0,1,0,0,-1.0,-23.0,
AA,CLT,JAC,1,0,1,0,1,1,0,5.0,3.0,
WN,BOS,BWI,0,1,1,1,5,2,0,31.0,39.0,0.0
YX,ACK,PHL,0,1,1,0,1,1,0,-1.0,10.0,
WN,MCO,SAT,0,1,0,1,1,0,0,6.0,-9.0,
B6,ACK,BOS,1,1,1,0,4,1,0,38.0,34.0,0.0
NK,RDU,FLL,1,1,1,0,1,1,1,66.0,67.0,7.0
G4,BIS,PIE,0,1,0,0,2,0,0,-25.0,-87.0,
B6,RSW,PVD,1,0,0,0,1,0,0,-21.0,-34.0,
WN,DEN,LIT,1,0,1,0,4,3,0,42.0,43.0,0.0
YX,PHL,EYW,1,0,1,0,1,0,0,-9.0,-15.0,
AS,IAD,SEA,1,0,1,1,1,0,0,-3.0,-16.0,
AS,SEA,BWI,1,1,1,0,1,0,0,1.0,-6.0,
YX,SRQ,DCA,0,1,0,0,1,0,0,-8.0,-23.0,
F9,SNA,PHX,0,1,0,0,1,0,0,-11.0,-11.0,
WN,AUS,OKC,1,1,0,1,2,0,0,3.0,-25.0,
DL,ATL,MCO,1,0,1,1,2,2,0,16.0,47.0,0.0
YX,LGA,MEM,0,0,1,1,3,1,0,25.0,-2.0,0.0
DL,GRB,MSP,0,1,0,0,1,0,0,-2.0,-2.0,
G4,PIE,FAR,0,1,0,1,1,1,1,23.0,19.0,19.0
WN,SJC,STL,0,0,1,1,1,0,0,0.0,-14.0,
YX,ORD,FSD,1,0,1,0,4,1,0,14.0,-29.0,
WN,SRQ,ATL,1,0,0,1,1,0,0,-2.0,-8.0,
UA,CVG,IAH,1,1,1,0,3,0,0,-12.0,-38.0,
DL,KOA,LAX,1,0,1,0,1,0,0,-13.0,-24.0,
B6,DTW,JFK,1,0,0,0,1,1,0,38.0,50.0,0.0
AA,PHL,ORD,1,1,0,1,1,1,0,92.0,84.0,0.0
F9,MCO,CLE,1,1,1,0,2,2,0,64.0,49.0,0.0
AS,CVG,SEA,0,0,1,1,1,0,0,-19.0,-47.0,
OO,SUN,LAX,0,0,1,1,1,0,0,-10.0,-2.0,
WN,MYR,BWI,1,1,0,1,3,0,0,-8.0,-31.0,
B6,SJU,DCA,0,1,1,1,1,0,0,-3.0,-12.0,
UA,SAT,IAD,0,1,0,1,1,1,0,15.0,18.0,0.0
WN,EUG,SJC,0,0,1,1,1,1,0,-3.0,18.0,0.0
NK,BWI,LAX,0,0,0,1,1,1,0,64.0,21.0,0.0
9E,DTW,MQT,0,1,1,0,1,0,0,14.0,-9.0,
NK,ORD,DFW,1,1,0,0,1,1,0,44.0,57.0,0.0
WN,LAS,LGB,1,0,1,0,1,1,0,41.0,30.0,0.0
AA,DFW,GEG,0,1,1,0,1,1,0,30.0,50.0,0.0
MQ,ORD,BDL,1,1,0,0,1,1,0,0.0,1.0,
AS,ANC,PHX,1,0,1,0,1,1,0,142.0,139.0,0.0
DL,RIC,DTW,0,0,1,1,1,0,0,-5.0,-19.0,
UA,MSN,EWR,1,1,1,1,1,1,0,228.0,258.0,0.0
9E,JFK,ORD,1,1,0,0,1,1,0,36.0,30.0,0.0
G4,IAD,BNA,1,0,0,0,1,1,0,136.0,113.0,0.0
F9,DTW,ATL,0,0,1,1,2,1,0,39.0,29.0,0.0
9E,LGA,MCI,0,1,1,1,1,1,0,5.0,2.0,
UA,SFO,MSY,1,1,0,0,4,0,0,-22.0,-78.0,
F9,DFW,MDW,1,1,1,0,1,0,0,0.0,-8.0,
MQ,CLT,TUL,0,0,1,1,1,1,0,62.0,34.0,0.0
F9,SYR,MCO,0,0,0,1,2,2,0,155.0,224.0,0.0
WN,AUS,MSP,1,1,0,0,4,2,0,93.0,68.0,0.0
YX,AVL,EWR,0,1,1,1,1,1,0,92.0,105.0,0.0
AA,DCA,BTV,0,1,0,1,1,0,0,-7.0,-32.0,
WN,STL,AUS,1,0,1,0,2,1,0,231.0,201.0,0.0
G4,PIE,HTS,0,0,0,1,3,1,0,-3.0,19.0,0.0
OH,PHL,ILM,1,0,0,0,1,1,0,-6.0,26.0,0.0
MQ,DSM,DCA,1,1,1,0,1,0,0,-9.0,-27.0,
DL,MYR,BOS,0,1,1,0,1,0,0,-9.0,-22.0,
DL,RDU,LAS,0,0,0,1,3,1,0,105.0,74.0,0.0
YX,DCA,EYW,1,0,0,0,1,1,0,-7.0,2.0,
MQ,DTW,DCA,0,0,1,0,1,0,0,-3.0,-4.0,
NK,MCI,MCO,0,1,0,1,1,0,0,-3.0,-9.0,
DL,BHM,ATL,0,1,0,1,1,1,0,30.0,25.0,0.0
DL,OMA,ATL,0,1,0,1,1,0,0,-7.0,-10.0,
AA,MIA,ORF,1,0,0,0,1,0,0,-3.0,-24.0,
F9,DEN,MSP,0,1,0,1,1,0,0,-11.0,-6.0,
9E,CID,MSP,1,1,0,1,2,2,0,19.0,13.0,
WN,DAL,MCO,1,0,1,1,1,1,0,56.0,50.0,0.0
OH,DFW,STL,1,1,0,0,1,0,0,1.0,-10.0,
UA,DEN,MCI,1,1,1,1,2,1,0,19.0,13.0,
AA,MSP,DCA,0,0,1,0,1,1,0,-8.0,56.0,0.0
OO,MCI,DEN,1,0,1,0,1,0,0,-10.0,-29.0,
AA,LGA,PBI,0,1,0,0,2,1,0,-8.0,5.0,
9E,BGM,DTW,1,1,0,0,1,1,0,42.0,79.0,0.0
OH,DCA,TUL,0,1,0,1,1,1,0,0.0,22.0,0.0
WN,VPS,BNA,1,1,1,0,2,0,0,-9.0,-36.0,
9E,CAE,LGA,0,1,0,1,1,1,0,93.0,114.0,0.0
AS,SEA,TPA,1,1,0,0,1,1,0,-4.0,28.0,0.0
OH,CLT,SDF,0,1,0,1,1,1,0,11.0,31.0,0.0
YX,DCA,PWM,0,1,0,0,1,1,0,-1.0,5.0,
OO,DTW,MEM,1,1,1,0,1,1,0,-4.0,17.0,0.0
OH,CLT,CLE,0,0,1,0,2,2,0,90.0,51.0,0.0
B6,JAX,FLL,1,1,0,0,2,2,0,69.0,71.0,0.0
G4,SFB,MFE,1,0,0,0,2,1,0,-19.0,-3.0,
9E,BUF,JFK,0,0,1,1,4,0,0,-20.0,-67.0,
9E,DTW,GSO,0,1,1,1,4,2,0,-17.0,11.0,0.0
G4,ATW,SFB,0,0,0,1,2,2,1,91.0,193.0,91.0
G4,FNT,PIE,1,1,0,0,1,1,0,40.0,121.0,0.0
WN,SAT,STL,1,0,1,0,2,1,0,-1.0,0.0,
WN,SAT,BWI,0,1,1,0,2,1,0,2.0,-13.0,
AA,DFW,BUR,0,0,1,1,1,1,1,39.0,45.0,18.0
G4,MLI,PGD,1,0,0,0,3,1,0,-10.0,-7.0,
UA,ORD,SEA,1,0,0,1,2,0,0,4.0,-59.0,
OO,LBB,PHX,0,0,0,1,1,1,0,239.0,228.0,0.0
DL,GEG,ATL,0,0,0,1,4,2,0,14.0,49.0,0.0
MQ,AUS,PSP,0,0,1,0,2,1,0,-7.0,7.0,
WN,OKC,ATL,1,0,1,1,1,0,0,-8.0,0.0,
AA,OKC,DFW,0,1,1,1,2,1,0,0.0,-10.0,
AS,LAX,ANC,1,0,0,0,1,0,0,-3.0,-38.0,
AA,FLL,CLT,1,1,0,1,1,1,0,-4.0,11.0,
B6,BOS,PHL,0,1,0,1,3,0,0,0.0,-43.0,
AA,PHL,STT,0,0,0,1,2,1,0,-17.0,15.0,0.0
OH,BDL,DCA,1,1,0,1,1,0,0,-10.0,-20.0,
OO,SUN,SFO,1,1,1,0,1,1,0,20.0,36.0,0.0
G4,PIT,JAX,1,0,0,0,1,0,0,-13.0,-24.0,
9E,ROC,JFK,1,0,1,1,3,1,0,30.0,0.0,0.0
G4,PVD,PGD,1,0,1,1,1,0,0,-3.0,-18.0,
F9,FLL,TTN,1,1,0,0,1,1,0,58.0,31.0,0.0
UA,ORD,DTW,0,0,1,1,7,4,1,75.0,80.0,20.0
NK,MKE,TPA,0,1,1,0,1,0,0,-7.0,-1.0,
DL,CVG,RSW,1,1,1,0,1,1,1,25.0,24.0,24.0
DL,IAD,SEA,0,1,0,0,4,0,0,-19.0,-111.0,
OH,PHL,CVG,1,1,1,1,2,2,1,286.0,337.0,20.0
F9,TTN,RSW,1,1,1,0,1,1,0,118.0,132.0,0.0
OH,DFW,MGM,0,1,0,0,1,1,0,75.0,65.0,0.0
G4,BLV,VPS,0,1,1,0,1,0,0,0.0,-16.0,
DL,MSP,GEG,0,1,1,0,2,0,0,-8.0,-53.0,
OH,DCA,DSM,0,1,0,1,1,1,0,5.0,12.0,
AA,DFW,PSP,0,1,0,0,1,1,1,112.0,105.0,15.0
F9,RSW,SJU,1,0,1,0,1,1,0,23.0,21.0,0.0
F9,SFO,MDW,1,1,0,0,2,0,0,-20.0,-41.0,
DL,FAI,SEA,0,1,1,0,3,1,0,-22.0,-44.0,
AA,FCA,ORD,0,1,1,0,1,0,0,-6.0,-6.0,
DL,MSP,BUF,0,0,0,0,3,1,0,-10.0,-12.0,0.0
DL,HOU,ATL,0,0,1,1,1,1,0,218.0,203.0,0.0
WN,OGG,LIH,1,1,1,0,2,1,0,108.0,106.0,0.0
G4,LIT,LAX,0,0,0,0,1,1,0,18.0,16.0,0.0
WN,OAK,LIH,1,0,0,0,1,0,0,-2.0,-15.0,
UA,SPN,GUM,0,1,0,1,1,0,0,2.0,0.0,
9E,BIS,MSP,0,0,0,0,1,1,0,-8.0,5.0,
UA,MKE,DEN,0,0,0,1,1,0,0,7.0,-2.0,
OO,WYS,SLC,0,0,0,1,1,1,0,152.0,147.0,0.0
AA,IND,PHL,1,1,1,0,1,1,0,-2.0,25.0,0.0
9E,PIT,JFK,0,1,0,0,2,0,0,-14.0,-33.0,
NK,MSP,DTW,0,1,1,0,1,0,0,-2.0,-17.0,
G4,SGF,LAX,1,0,1,0,1,0,0,-9.0,-4.0,
OO,PDX,STS,1,0,1,1,1,1,0,20.0,58.0,0.0
OH,PWM,PHL,1,1,0,0,1,0,0,-4.0,-8.0,
OO,SGU,SLC,0,1,0,0,1,1,0,15.0,10.0,
AS,SEA,SAT,1,0,0,1,1,0,0,-5.0,-13.0,
NK,BWI,MSY,0,0,1,1,1,0,0,-17.0,-3.0,
UA,IAH,STL,0,1,0,1,2,1,0,-15.0,5.0,0.0
OH,IAH,PHL,0,1,0,1,1,1,0,77.0,76.0,0.0
YX,MEM,EWR,1,0,1,1,1,1,0,18.0,33.0,0.0
DL,SEA,CVG,1,0,1,1,1,0,0,-4.0,-29.0,
UA,BTV,EWR,0,1,1,0,2,0,0,-16.0,-42.0,
G4,ICT,SFB,0,0,1,0,1,0,0,-6.0,-2.0,
YX,MSY,PHL,1,0,1,0,1,0,0,-5.0,-18.0,
AS,SEA,PSC,0,0,0,1,1,0,0,-6.0,-11.0,
AA,MCO,ORD,1,0,1,1,2,2,1,135.0,119.0,7.0
OH,CLT,PNS,1,0,0,0,1,1,1,249.0,254.0,8.0
WN,STL,OMA,1,1,1,1,2,1,0,47.0,99.0,0.0
OO,CSG,ATL,0,1,0,0,1,0,0,-6.0,-3.0,
AA,LAX,BNA,1,1,1,0,1,1,0,13.0,38.0,0.0
WN,BOI,LAS,0,0,0,1,2,2,0,132.0,140.0,0.0
AA,LAS,PHL,0,0,0,0,6,1,0,-31.0,-106.0,0.0
