Year,Quarter,Month,DayOfWeek,Reporting_Airline,CancelledFlights,DivertedFlights,TotalFlights,DepartureDelayedFlights,ArrivalDelayedFlights,TotalDepDelay_gt_15M,TotalArrDelay_gt_15M,TotalDepDelay,TotalArrDelay,TotalDepDelayMinutes,TotalArrDelayMinutes,TotalCarrierDelay,TotalWeatherDelay,TotalNASDelay,TotalSecurityDelay,TotalLateAircraftDelay
2024,2,5,3,WN,64.0,70.0,1379,5572.0,4963.0,343253.0,328052.0,346674.0,237667.0,374230.0,351295.0,83057.0,10020.0,53359.0,236.0,181380.0
2024,3,7,6,UA,459.0,69.0,769,2256.0,2098.0,193741.0,180542.0,183117.0,129222.0,201787.0,187444.0,72672.0,11343.0,23117.0,0.0,73410.0
2024,3,8,5,WN,100.0,48.0,1500,5255.0,4797.0,275339.0,263657.0,269518.0,158791.0,305756.0,287009.0,61903.0,9117.0,57068.0,301.0,135268.0
2020,4,10,3,YV,3.0,1.0,189,102.0,123.0,7783.0,8090.0,2989.0,-4631.0,8240.0,8761.0,2472.0,618.0,2197.0,0.0,2803.0
2020,4,11,2,F9,0.0,0.0,135,51.0,61.0,3622.0,3819.0,302.0,-2776.0,3814.0,4082.0,1362.0,150.0,1277.0,0.0,1030.0
2020,3,7,6,NK,1.0,2.0,398,162.0,141.0,8654.0,7164.0,179.0,-18248.0,9596.0,8312.0,3699.0,478.0,581.0,312.0,2094.0
2020,3,8,2,AA,70.0,9.0,514,305.0,348.0,17599.0,18267.0,-9367.0,-42237.0,19728.0,21444.0,9331.0,1210.0,3545.0,96.0,4085.0
2020,3,9,2,OO,105.0,19.0,916,661.0,755.0,62363.0,65477.0,29232.0,-16961.0,64668.0,69106.0,32524.0,19305.0,3981.0,0.0,9667.0
2021,4,10,6,QX,1.0,0.0,144,63.0,74.0,2990.0,3018.0,28.0,-5269.0,3893.0,3735.0,1901.0,14.0,501.0,0.0,602.0
2021,4,11,1,OH,11.0,2.0,376,508.0,533.0,38234.0,37316.0,25236.0,5522.0,40907.0,40524.0,11791.0,505.0,3928.0,179.0,20913.0
2021,1,3,7,OO,525.0,7.0,1004,629.0,681.0,59027.0,57714.0,30636.0,-22194.0,62744.0,63126.0,39306.0,11506.0,767.0,726.0,5409.0
2021,2,6,2,DL,1.0,33.0,696,1162.0,1085.0,74404.0,69594.0,58308.0,-28387.0,85162.0,78483.0,35321.0,4204.0,14111.0,69.0,15889.0
2024,2,4,5,UA,28.0,34.0,726,1657.0,1786.0,119350.0,118900.0,100384.0,51061.0,127482.0,126605.0,31253.0,2330.0,34018.0,0.0,51299.0
2023,1,3,2,AA,41.0,11.0,816,1724.0,2017.0,124507.0,130885.0,99159.0,67157.0,133172.0,142513.0,49820.0,2222.0,24476.0,187.0,54180.0
2023,1,3,3,9E,26.0,2.0,290,349.0,353.0,27222.0,27132.0,16850.0,-4651.0,28545.0,29076.0,7827.0,1352.0,8770.0,0.0,9183.0
2023,2,4,6,OH,68.0,19.0,322,544.0,631.0,41222.0,45363.0,32976.0,29228.0,43185.0,47866.0,10211.0,5083.0,11202.0,88.0,18779.0
2022,2,4,2,B6,98.0,5.0,343,1120.0,1052.0,84421.0,78023.0,79909.0,58918.0,87985.0,81059.0,37250.0,408.0,7902.0,378.0,32085.0
2022,4,11,2,B6,12.0,17.0,323,939.0,927.0,62173.0,60352.0,49969.0,28874.0,66236.0,64663.0,28326.0,167.0,7455.0,307.0,24097.0
2020,3,8,2,YX,137.0,4.0,324,81.0,83.0,4878.0,4770.0,-6501.0,-23710.0,5320.0,5562.0,1735.0,725.0,1722.0,0.0,588.0
2021,2,6,2,B6,9.0,19.0,354,867.0,850.0,67907.0,67055.0,62614.0,46023.0,70719.0,69439.0,27603.0,5057.0,9402.0,174.0,24819.0
2022,4,12,7,YV,6.0,5.0,226,197.0,183.0,18931.0,17407.0,16679.0,8880.0,19945.0,18460.0,7099.0,686.0,1840.0,18.0,7764.0
2022,1,3,4,UA,60.0,23.0,694,1980.0,2007.0,135207.0,138456.0,126927.0,81384.0,146566.0,148222.0,38441.0,9930.0,37364.0,0.0,52721.0
2022,1,3,2,UA,19.0,10.0,689,1323.0,1215.0,79272.0,72838.0,65628.0,-2123.0,89703.0,80788.0,24059.0,2133.0,12107.0,0.0,34539.0
2022,2,5,1,DL,294.0,48.0,753,2566.0,2476.0,180838.0,170552.0,168111.0,84725.0,195262.0,182705.0,92328.0,7454.0,24347.0,94.0,46329.0
2022,2,5,6,F9,13.0,8.0,315,484.0,514.0,32839.0,34159.0,30055.0,28654.0,34795.0,36335.0,12206.0,1465.0,8304.0,0.0,12184.0
2022,2,6,5,MQ,14.0,9.0,380,520.0,594.0,31976.0,34985.0,26702.0,20815.0,34591.0,38317.0,10651.0,4733.0,8042.0,26.0,11533.0
2022,3,7,4,B6,79.0,20.0,344,1038.0,1009.0,80439.0,79632.0,73920.0,58850.0,83348.0,82634.0,31359.0,3044.0,16526.0,69.0,28634.0
2023,4,10,2,UA,25.0,8.0,762,972.0,964.0,56571.0,52430.0,14649.0,-69238.0,64096.0,59752.0,21001.0,884.0,9719.0,0.0,20826.0
2023,4,10,1,WN,41.0,13.0,1426,4142.0,3340.0,156983.0,128543.0,155998.0,13057.0,194129.0,157499.0,51705.0,246.0,15041.0,707.0,60844.0
2023,4,11,4,B6,6.0,2.0,330,653.0,603.0,47219.0,42893.0,35362.0,6354.0,50027.0,45607.0,22324.0,1058.0,4080.0,43.0,15388.0
2023,4,12,2,F9,29.0,1.0,368,413.0,387.0,27295.0,25977.0,20866.0,9950.0,29109.0,28015.0,7032.0,95.0,6325.0,0.0,12525.0
